Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density,Beta_Glucosidase_ug_pNP_per_g_per_h,flag_Beta_Glucosidase,GWC_percent,flag_GWC,HClExtOM_TOC_mg_per_kg,flag_HClExtOM_TOC,HClExtOM_TN_mg_per_kg,flag_HClExtOM_TN,Ca_meq_per_100g,Mg_meq_per_100g,Na_meq_per_100g,K_meq_per_100g,SO4_S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,flag_Ca,flag_Mg,flag_Na,flag_K,flag_SO4S,flag_B,flag_Zn,flag_Mn,flag_Cu,flag_Fe,MBC_mg_per_kg,flag_MBC,MBN_mg_per_kg,flag_MBN,NO3_N_mg_per_kg,flag_NO3N,NH4_N_mg_per_kg,flag_NH4N,PO4_P_mg_per_kg,flag_P,pH,flag_pH,Sand_percent,Silt_percent,Clay_percent,flag_Texture,WEOM_TOC_mg_per_kg,flag_WEOM_TOC,WEOM_TN_mg_per_kg,flag_WEOM_TN
61078,6,TOP,61078_6_TOP,1.41,,89.8,,40.43,,637.46,,45.64,,10.62,1.18,0.08,0.32,9,0.29,1.8,29.2,1.1,112,,,,,,,,,,,,Failed_QC,,Failed_QC,2.32,,10.69,,3.04,,6.5,,16.5,48.2,35.3,,56.5,,4.15,
61078,6,BTM,61078_6_BTM,1.26,,,Insufficient_material,25.22,,338.06,,19.22,,20.15,0.86,0.18,0.28,8,0.11,0.4,9.7,0.6,18,,,,,,,,,,,,Failed_QC,,Failed_QC,0.53,,3.57,,1.79,,6.77,,,,,Insufficient_material,24.87,,1.1,
61078,7,TOP,61078_7_TOP,1.54,,,In_queue,40.23,,754.02,,46.39,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,1.86,,6.08,,,,,In_queue,56.84,,2.6,
61078,7,BTM,61078_7_BTM,0.97,,,In_queue,29.87,,513.45,,16.58,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,,Failed_QC,,Failed_QC,0.26,,5.3,,1.14,,5.83,,,,,In_queue,29.22,,1.07,
61078,8,TOP,61078_8_TOP,1.28,,98.2,,43.93,,801.55,,52.6,,11.22,3.98,0.06,0.27,5,0.3,2.2,2.9,0.7,59,,,,,,,,,,,,Failed_QC,,Failed_QC,3.88,,6.78,,3.17,,6.39,,17.4,56.4,26.3,,50.21,,5.11,
61078,8,BTM,61078_8_BTM,1.13,,,Insufficient_material,27.78,,433.72,,18.16,,7.52,3.87,0.07,0.17,4,0.23,0.2,2.1,0.4,62,,,,,,,,,,,,Failed_QC,,Failed_QC,0.15,,2.63,,1.31,,6.73,,,,,Insufficient_material,30.97,,1.16,
61078,9,TOP,61078_9_TOP,1.86,,,In_queue,3.62,,440.42,,37.95,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,45.1,,6.16,,,,,In_queue,19.69,,1.4,
61078,9,BTM,61078_9_BTM,1.64,,,In_queue,4.54,,347.57,,15.15,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,24.98,,5.81,,,,,In_queue,14.16,,0.47,
61079,1,TOP,61079_1_TOP,1.9,,65,,21.86,,423.63,,95.25,,5.64,1.17,0.05,0.7,8,0.2,1.2,4,0.6,36,,,,,,,,,,,,Failed_QC,,Failed_QC,14.2,,9.64,,114.89,,6.34,,19.8,49.7,30.6,,22.4,,21.23,
61079,1,BTM,61079_1_BTM,1.25,,20.4,,19.05,,292.03,,44.69,,6.68,1.41,0.05,0.34,4,0.57,1,5.5,1.1,38,,,,,,,,,,,,Failed_QC,,Failed_QC,4.39,,2.59,,38.36,,6.82,,15.7,47.6,36.7,,16.45,,8.36,
61079,2,TOP,61079_2_TOP,1.69,,62.3,,21.65,,350.68,,59.76,,5.42,1.16,0.04,0.68,10,0.44,2.1,22.8,1.5,87,,,,,,,,,,,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,84.52,,5.55,,17.3,49.8,32.9,,20.59,,18.18,
61079,2,BTM,61079_2_BTM,0.91,,25,,19.51,,256.67,,50.95,,5.8,1.38,0.05,0.42,6,0.61,1.2,9.4,1.3,57,,,,,,,,,,,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,40.27,,6.09,,118,0,-18,,15.33,,10.87,
61079,3,TOP,61079_3_TOP,2.11,,33,,16.89,,306.74,,60.44,,3.93,0.98,0.04,0.87,8,0.34,1.4,18.8,1.1,91,,,,,,,,,,,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,66.27,,5.21,,23.9,45.8,30.4,,19.11,,16.17,
61079,3,BTM,61079_3_BTM,1.1,,13.7,,18.89,,362.08,,44.36,,6.43,1.37,0.04,0.55,3,0.67,2.3,9.9,1.3,70,,,,,,,,,,,,Failed_QC,,Failed_QC,5.54,,3.58,,66.38,,6.21,,7,54.2,38.8,,16.58,,8.93,
61079,4,TOP,61079_4_TOP,1.66,,62.6,,22.03,,306.22,,63.57,,5.96,1.12,0.04,0.57,11,0.28,1.3,7.4,0.8,53,,,,,,,,,,,,Failed_QC,,Failed_QC,20.1,,7.43,,108.69,,6.23,,14.9,54.6,30.4,,,Failed_QC,,Failed_QC
61079,4,BTM,61079_4_BTM,1.12,,20.5,,21.22,,352.57,,47.94,,8.95,1.46,0.04,0.43,6,0.82,1.3,5.3,1.2,46,,,,,,,,,,,,Failed_QC,,Failed_QC,79.03,,12.05,,56.66,,6.93,,,,,Insufficient_material,21.31,,8.14,
61079,5,TOP,61079_5_TOP,1.85,,55.4,,20.27,,337.21,,60.23,,5.48,1.14,0.02,0.52,8,0.36,1.3,14.5,1.1,74,,,,,,,,,,,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,60.11,,5.79,,20.1,48.6,31.3,,19.77,,18.56,
61079,5,BTM,61079_5_BTM,1.3,,14.5,,17.33,,154.25,,28.65,,5.11,1.19,0.03,0.21,3,0.65,0.7,4.8,1,33,,,,,,,,,,,,Failed_QC,,Failed_QC,4.85,,2.17,,26.44,,6.62,,23.8,43.3,32.9,,15.49,,7.11,
61079,6,TOP,61079_6_TOP,1.99,,24.6,,19.36,,376.4,,75.25,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,49.34,,4.67,,10.3,52.5,37.2,,,Failed_QC,,Failed_QC
61079,6,BTM,61079_6_BTM,1.03,,8.9,,20.93,,255.65,,48.08,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,26.54,,4.94,,7.2,50.3,42.6,,15,,9.57,
61079,7,TOP,61079_7_TOP,1.84,,66.1,,22.89,,209.82,,40.57,,6.07,1.11,0.03,0.5,10,0.28,1.4,17.2,0.9,56,,,,,,,,,,,,Failed_QC,,Failed_QC,18.03,,3.09,,64.91,,6.15,,20.5,50.1,29.4,,27.59,,21.88,
61079,7,BTM,61079_7_BTM,0.92,,26.4,,20.5,,250.63,,39.97,,6.49,1.19,0.05,0.44,6,0.34,0.9,8.6,0.9,40,,,,,,,,,,,,Failed_QC,,Failed_QC,11.17,,2.31,,30.23,,6.62,,16.7,52,31.3,,21.12,,11.74,
61079,8,TOP,61079_8_TOP,1.63,,55.1,,22.16,,312.32,,49.26,,5.8,1.45,0.06,0.54,5,0.68,2.28,65.3,1.5,121,,,,,,,,,,,,Failed_QC,,Failed_QC,14.48,,5.01,,73.27,,5.65,,16.8,54.2,29.1,,22,,13.93,
61079,8,BTM,61079_8_BTM,0.73,,,Insufficient_material,19.93,,280.02,,38.85,,5.95,1.5,0.05,0.38,5,0.78,1.2,10.9,1.4,73,,,,,,,,,,,,Failed_QC,,Failed_QC,3.71,,2.69,,33.74,,6.13,,,,,Insufficient_material,87.88,,6.14,
61079,9,TOP,61079_9_TOP,2.06,,20.4,,19.64,,458.17,,80.22,,4.57,1.38,0.03,0.64,11,0.58,1.8,26,1.5,104,,,,,,,,,,,,Failed_QC,,Failed_QC,16.23,,4.29,,67.73,,5.09,,10.6,50,39.4,,17.28,,14.35,
61079,9,BTM,61079_9_BTM,0.97,,13.6,,20.91,,536.21,,61.43,,5.04,1.39,0.08,0.41,11,1.17,2.5,19.4,2.3,177,,,,,,,,,,,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,69.12,,5.7,,,,,Insufficient_material,23.04,,7.92,
61079,9,BTM,61079_9_BTM,0.97,,,Insufficient_material,20.91,,536.21,,61.43,,5.04,1.39,0.08,0.41,11,1.17,2.5,19.4,2.3,177,,,,,,,,,,,,Failed_QC,,Failed_QC,,Insufficient_material,,Insufficient_material,69.12,,5.7,,,,,Insufficient_material,23.04,,7.92,
