Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density
61417,7,TOP,61417_7_TOP,1.32,
61417,7,BTM,61417_7_BTM,1.32,
61417,8,TOP,61417_8_TOP,1.28,
61417,8,BTM,61417_8_BTM,1.51,
61418,1,TOP,61418_1_TOP,0.46,
61418,1,BTM,61418_1_BTM,0.5,
61418,2,TOP,61418_2_TOP,0.78,
61418,2,BTM,61418_2_BTM,0.48,
61418,3,TOP,61418_3_TOP,0.56,
61418,3,BTM,61418_3_BTM,0.42,
61418,4,TOP,61418_4_TOP,0.75,
61418,4,BTM,61418_4_BTM,0.75,
61418,5,TOP,61418_5_TOP,0.61,
61418,5,BTM,61418_5_BTM,0.46,
61418,6,TOP,61418_6_TOP,0.93,
61418,6,BTM,61418_6_BTM,0.34,
61418,7,TOP,61418_7_TOP,,Insufficient_material
61418,7,BTM,61418_7_BTM,,Insufficient_material
61418,8,TOP,61418_8_TOP,0.48,
61418,8,BTM,61418_8_BTM,0.29,
61418,9,TOP,61418_9_TOP,0.38,
61418,9,BTM,61418_9_BTM,0.28,
61419,1,TOP,61419_1_TOP,0.74,
61419,1,BTM,61419_1_BTM,0.25,
61419,2,TOP,61419_2_TOP,0.71,
61419,2,BTM,61419_2_BTM,1.68,
61419,3,TOP,61419_3_TOP,1.8,
61419,3,BTM,61419_3_BTM,1.26,
61419,4,TOP,61419_4_TOP,1.56,
61419,4,BTM,61419_4_BTM,1.22,
61419,5,TOP,61419_5_TOP,0.72,
61419,5,BTM,61419_5_BTM,1.42,
61419,6,TOP,61419_6_TOP,0.76,
61419,6,BTM,61419_6_BTM,0.86,
61419,7,TOP,61419_7_TOP,0.66,
61419,7,BTM,61419_7_BTM,0.33,
61419,8,TOP,61419_8_TOP,0.9,
61419,8,BTM,61419_8_BTM,0.54,
61419,9,TOP,61419_9_TOP,0.88,
61419,9,BTM,61419_9_BTM,0.33,
61551,1,TOP,61551_1_TOP,0.91,
61551,1,BTM,61551_1_BTM,1.17,
61551,2,TOP,61551_2_TOP,0.6,
61551,2,BTM,61551_2_BTM,1.1,
61551,3,TOP,61551_3_TOP,0.9,
61551,3,BTM,61551_3_BTM,1.07,
61551,4,TOP,61551_4_TOP,0.96,
61551,4,BTM,61551_4_BTM,0.93,
61551,5,TOP,61551_5_TOP,0.88,
61551,5,BTM,61551_5_BTM,1.16,
61551,6,TOP,61551_6_TOP,0.99,
61551,6,BTM,61551_6_BTM,1.02,
61551,7,TOP,61551_7_TOP,0.96,
61551,7,BTM,61551_7_BTM,0.78,
61551,8,TOP,61551_8_TOP,0.71,
61551,8,BTM,61551_8_BTM,1.03,
61551,9,TOP,61551_9_TOP,1.26,
61551,9,BTM,61551_9_BTM,1.23,
61552,1,TOP,61552_1_TOP,1.79,
61552,1,BTM,61552_1_BTM,1.48,
61552,2,TOP,61552_2_TOP,1.88,
61552,2,BTM,61552_2_BTM,1.3,
61552,3,TOP,61552_3_TOP,1.7,
61552,3,BTM,61552_3_BTM,1.18,
61552,4,TOP,61552_4_TOP,1.96,
61552,4,BTM,61552_4_BTM,1.39,
61552,5,TOP,61552_5_TOP,1.65,
61552,5,BTM,61552_5_BTM,1.47,
61552,6,TOP,61552_6_TOP,1.64,
61552,6,BTM,61552_6_BTM,1.39,
61552,7,TOP,61552_7_TOP,1.65,
61552,7,BTM,61552_7_BTM,1.37,
61552,8,TOP,61552_8_TOP,1.76,
61552,8,BTM,61552_8_BTM,1.14,
61555,1,TOP,61555_1_TOP,1.33,
